Source,Target,Direction_X_Y,Direction_Y_X,Library_Size,X_predicts_Y,Y_predicts_X
X1,X2,X1 → X2,X2 → X1,50.0,0.9307537999999999,0.9589656999999999
X1,X2,X1 → X2,X2 → X1,100.0,0.9781415,0.9830777999999999
X1,X2,X1 → X2,X2 → X1,150.0,0.9959908000000002,0.9980812
X1,X2,X1 → X2,X2 → X1,200.0,0.9976349999999999,0.9990673999999998
X1,X2,X1 → X2,X2 → X1,250.0,0.9978598999999998,0.9992119000000002
X1,X3,X1 → X3,X3 → X1,50.0,0.8494352,0.8548361999999997
X1,X3,X1 → X3,X3 → X1,100.0,0.9644315999999997,0.9689334
X1,X3,X1 → X3,X3 → X1,150.0,0.9882284000000001,0.9960459999999999
X1,X3,X1 → X3,X3 → X1,200.0,0.9917746,0.9983168000000002
X1,X3,X1 → X3,X3 → X1,250.0,0.9923065999999998,0.9987938000000001
X1,X4,X1 → X4,X4 → X1,50.0,0.8833914999999999,0.8602238000000001
X1,X4,X1 → X4,X4 → X1,100.0,0.9638053,0.9670386000000001
X1,X4,X1 → X4,X4 → X1,150.0,0.9833887999999998,0.9953850999999999
X1,X4,X1 → X4,X4 → X1,200.0,0.9863968000000001,0.9971804999999998
X1,X4,X1 → X4,X4 → X1,250.0,0.9870208000000001,0.9980282000000001
X2,X3,X2 → X3,X3 → X2,50.0,0.9302168000000001,0.9549197
X2,X3,X2 → X3,X3 → X2,100.0,0.9794259,0.9822795999999999
X2,X3,X2 → X3,X3 → X2,150.0,0.9953663999999999,0.9983586
X2,X3,X2 → X3,X3 → X2,200.0,0.9971112999999999,0.9991293
X2,X3,X2 → X3,X3 → X2,250.0,0.9973328000000001,0.9993471000000003
X2,X4,X2 → X4,X4 → X2,50.0,0.8484657,0.8612699000000003
X2,X4,X2 → X4,X4 → X2,100.0,0.9637847,0.9685101
X2,X4,X2 → X4,X4 → X2,150.0,0.9866845,0.9962611
X2,X4,X2 → X4,X4 → X2,200.0,0.9905455000000001,0.9979937
X2,X4,X2 → X4,X4 → X2,250.0,0.9910416999999999,0.9987131000000001
X3,X4,X3 → X4,X4 → X3,50.0,0.9248926000000001,0.9570366999999999
X3,X4,X3 → X4,X4 → X3,100.0,0.9789386,0.9839743999999999
X3,X4,X3 → X4,X4 → X3,150.0,0.9958189999999999,0.9984750000000001
X3,X4,X3 → X4,X4 → X3,200.0,0.9970474999999999,0.9990798
X3,X4,X3 → X4,X4 → X3,250.0,0.9974719000000001,0.9993297999999998
