Source,Target,Direction,Mean_Rho,Std_Rho,CI_Lower,CI_Upper,Library_Size
X1,X2,X1 → X2,0.9984072499999999,1.7073502862585845e-05,0.9983739250000001,0.9984368149999999,250
X2,X1,X2 → X1,0.9984072499999999,1.7073502862585845e-05,0.9983739250000001,0.9984368149999999,250
X1,X3,X1 → X3,0.9931866699999998,9.060638001821363e-05,0.9930138224999999,0.993317665,250
X3,X1,X3 → X1,0.9931866699999998,9.060638001821363e-05,0.9930138224999999,0.993317665,250
X1,X4,X1 → X4,0.9868752500000001,0.0018625243886993615,0.9826795675,0.9874805099999999,250
X4,X1,X4 → X1,0.9868752500000001,0.0018625243886993615,0.9826795675,0.9874805099999999,250
X2,X3,X2 → X3,0.9974265299999999,0.00224665714854312,0.9924987475000001,0.9979992624999999,250
X3,X2,X3 → X2,0.9974265299999999,0.00224665714854312,0.9924987475000001,0.9979992624999999,250
X2,X4,X2 → X4,0.9907627900000001,0.003296807626613923,0.9808773575000002,0.9920685525,250
X4,X2,X4 → X2,0.9907627900000001,0.003296807626613923,0.9808773575000002,0.9920685525,250
X3,X4,X3 → X4,0.997477265,0.0023298693734359653,0.9923076625000001,0.9981204124999999,250
X4,X3,X4 → X3,0.997477265,0.0023298693734359653,0.9923076625000001,0.9981204124999999,250
