Source,Target,Direction,Mean_Rho,Std_Rho,CI_Lower,CI_Upper,Library_Size
X1,X2,X1 → X2,0.99841059,1.715677417229004e-05,0.9983774825000001,0.9984406675,250
X2,X1,X2 → X1,0.99841059,1.715677417229004e-05,0.9983774825000001,0.9984406675,250
X1,X3,X1 → X3,0.99840382,1.7580602947596352e-05,0.9983656999999999,0.9984279075000001,250
X3,X1,X3 → X1,0.99840382,1.7580602947596352e-05,0.9983656999999999,0.9984279075000001,250
X1,X4,X1 → X4,-0.07165074,0.0010233501089070144,-0.0737413275,-0.07028215500000001,250
X4,X1,X4 → X1,-0.07165074,0.0010233501089070144,-0.0737413275,-0.07028215500000001,250
X2,X3,X2 → X3,0.999340385,0.0021075952069301326,0.9947450925000001,0.9998296675000001,250
X3,X2,X3 → X2,0.999340385,0.0021075952069301326,0.9947450925000001,0.9998296675000001,250
X2,X4,X2 → X4,-0.04929251500000001,0.0025302104606682446,-0.053112000000000006,-0.0448085525,250
X4,X2,X4 → X2,-0.04929251500000001,0.0025302104606682446,-0.053112000000000006,-0.0448085525,250
X3,X4,X3 → X4,-0.033555295000000006,0.00189722447155707,-0.03620166750000001,-0.030241184999999997,250
X4,X3,X4 → X3,-0.033555295000000006,0.00189722447155707,-0.03620166750000001,-0.030241184999999997,250
